departamento,anio,sexo,Fuerza de trabajo,Fuerza de trabajo potencial,Poblacion desocupada,Poblacion en edad de trabajar (PET),Poblacion fuera de la fuerza de trabajo,Poblacion ocupada,Poblacion subocupada,Poblacion total,Porcentaje poblacion en edad de trabajar,Tasa Global de Participacion (TGP),Tasa de Desocupacion (TD),Tasa de Ocupacion (TO),Tasa de Subocupacion (TS)
Antioquia,2021,total,3163.264,173.923,433.094,5369.167,2205.903,2730.17,175.747,6781.515,79.173562126,58.915364539,13.691361471,50.849049018,5.555865019
Antioquia,2022,hombres,2010.279,58.763,159.202,2606.538,596.259,1851.076,102.528,3329.583,78.284214198,77.124467549,7.919409386,71.016665227,5.100189534
Antioquia,2022,mujeres,1439.016,151.487,187.705,2866.207,1427.191,1251.311,98.73,3556.44,80.592017579,50.206292609,13.043987831,43.657389911,6.860921343
Antioquia,2022,total,3449.295,210.25,346.907,5472.745,2023.45,3102.387,201.258,6886.023,79.476130629,63.026778536,10.057339494,56.687961446,5.834751721
Antioquia,2023,hombres,2051.835,57.025,144.112,2657.774,605.939,1907.723,113.702,3382.4,78.576574959,77.201249796,7.023564232,71.778970429,5.541501706
Antioquia,2023,mujeres,1513.896,154.308,176.311,2920.348,1406.452,1337.585,90.537,3611.894,80.853625893,51.83957437,11.646159884,45.802254656,5.980406304
Antioquia,2023,total,3565.731,211.333,320.423,5578.122,2012.391,3245.308,204.24,6994.295,79.752457294,63.923499748,8.986171207,58.179224619,5.727846628
Antioquia,2024,hombres,2084.459,48.652,156.578,2709.468,625.009,1927.881,108.089,3432.911,78.926245102,76.932420269,7.511675101,71.15350681,5.185446758
Antioquia,2024,mujeres,1540.513,116.074,184.429,2974.624,1434.111,1356.085,106.562,3664.831,81.166764712,51.788500704,11.971885584,45.588440654,6.917296608
Antioquia,2024,total,3624.973,164.726,341.006,5684.092,2059.12,3283.966,214.65,7097.742,80.083109535,63.773992348,9.407141605,57.774682581,5.921435204
Antioquia,2025,hombres,2145.495,43.704,127.969,2758.483,612.988,2017.527,116.834,3481.823,79.225248877,77.778076975,5.964526299,73.13898312,5.445556083
Antioquia,2025,mujeres,1574.395,94.202,151.355,3026.127,1451.733,1423.04,95.515,3716.048,81.43402208,52.026719569,9.61352335,47.025118735,6.066787534
Antioquia,2025,total,3719.89,137.906,279.323,5784.611,2064.721,3440.567,212.349,7197.872,80.365573115,64.306662557,7.508916562,59.477928922,5.708484167
Antioquia,2026,hombres,2206.531,38.756,99.35999999999999,2807.4980000000005,600.9670000000001,2107.173,125.57900000000001,3530.7349999999997,79.524252652,78.623733681,4.417377497,75.12445943000002,5.705665407999999
Antioquia,2026,mujeres,1608.277,72.33,118.28099999999998,3077.63,1469.3549999999998,1489.995,84.468,3767.2649999999994,81.70127944800001,52.264938434,7.255161115999998,48.461796815999996,5.216278460000001
Antioquia,2026,total,3814.807,111.08600000000001,217.64,5885.13,2070.322,3597.168,210.04799999999997,7298.002,80.648036695,64.83933276599998,5.6106915189999995,61.18117526299999,5.49553313
Atlantico,2007,hombres,551.1573390000001,0.0,48.235326,728.806,177.648661,502.922013,61.132937,1054.636,69.104980297,75.624698329,8.751643601,69.006294257,11.091739716
Atlantico,2007,mujeres,374.335662,0.0,61.122091,801.858,427.522338,313.213571,32.17625,1119.232,71.64359132,46.68353525,16.328150604,39.060977307,8.595561079
Atlantico,2007,total,925.493001,0.0,109.357417,1530.664,605.1709989999999,816.135584,93.30918799999999,2173.868,70.412002937,60.463498259,11.816125733,53.319055282,10.082106276
Atlantico,2008,hombres,564.723412,0.0,48.790531,743.098,178.374588,515.932882,42.685196000000005,1069.461,69.483412672,75.995819182,8.639721622,69.429991961,7.558602129
Atlantico,2008,mujeres,355.21818199999996,0.0,51.888729,816.321,461.102818,303.329453,22.947629,1133.816,71.997660996,43.514522128,14.607565719,37.158109711,6.460150342
Atlantico,2008,total,919.941595,0.0,100.67926,1559.419,639.477405,819.262334,65.632824,2203.277,70.777255878,58.992585996,10.944092621,52.536382745,7.134455586
Atlantico,2009,hombres,577.400118,0.0,45.150017999999996,757.322,179.921882,532.250101,45.396854,1084.05,69.860430792,76.242353742,7.81953731,70.280554445,7.862286887
Atlantico,2009,mujeres,375.927069,0.0,53.69225,830.635,454.707931,322.23482,20.699948,1148.144,72.345890411,45.257793069,14.282624029,38.793792642,5.506373447
Atlantico,2009,total,953.327188,0.0,98.84226799999999,1587.957,634.629812,854.48492,66.096802,2232.194,71.138843667,60.034823844,10.368136869,53.810331139,6.933275686
Atlantico,2010,hombres,584.950929,0.0,41.428110999999994,771.492,186.541071,543.5228179999999,54.66054,1098.414,70.236905211,75.820738107,7.082322433,70.450868963,9.344465852
Atlantico,2010,mujeres,400.729274,0.0,54.91278500000001,844.742,444.01272600000004,345.816489,27.968124,1162.169,72.686674657,47.438066818,13.703212868,40.937527541,6.979306507
Atlantico,2010,total,985.680203,0.0,96.34089599999999,1616.234,630.553797,889.3393070000001,82.628664,2260.583,71.496335237,60.986231154,9.774052075,55.025405163,8.38290795
Atlantico,2011,hombres,604.484726,0.0,34.13264100000001,785.544,181.05927400000002,570.352085,81.590764,1112.38,70.618313886,76.951097055,5.646567942,72.606001078,13.49757242
Atlantico,2011,mujeres,420.899527,0.0,50.490868999999996,858.466,437.566473,370.408658,44.126562,1175.526,73.028244377,49.029259984,11.995943465,43.147737676,10.48387058
Atlantico,2011,total,1025.384253,0.0,84.62351,1644.01,618.6257469999999,940.760743,125.717325,2287.906,71.856536064,62.370925534,8.252858361,57.223541391,12.26050868
Atlantico,2012,hombres,611.70359,0.0,33.669478000000005,799.536,187.83241,578.0341119999999,81.46705800000001,1125.891,71.013623877,76.507322946,5.504214538,72.296195754,13.318061184
Atlantico,2012,mujeres,434.997051,0.0,52.048451,872.076,437.078949,382.9486,45.081921,1188.44,73.379892969,49.88063552,11.965242265,43.912296637,10.36373033
Atlantico,2012,total,1046.700641,0.0,85.717929,1671.612,624.9113590000001,960.9827120000001,126.54898,2314.331,72.228734783,62.616243519,8.189345223,57.488383171,12.090274404
Atlantico,2013,hombres,620.449499,0.0,32.237564,813.712,193.262501,588.211934,69.958228,1139.259,71.424671651,76.249274756,5.195840171,72.287484308,11.275410481
Atlantico,2013,mujeres,447.030951,0.0,50.070989999999995,885.764,438.733049,396.959961,34.628932999999996,1201.101,73.746004707,50.468403638,11.200788158,44.815544659,7.7464285
Atlantico,2013,total,1067.4804490000001,0.0,82.308554,1699.476,631.995551,985.1718950000001,104.587161,2340.36,72.616007794,62.812328588,7.710544407,57.969156099,9.797571546
Atlantico,2014,hombres,635.820829,0.0,33.508321,828.035,192.214171,602.312508,68.35449899999999,1152.533,71.844797503,76.786709418,5.270088641,72.739981768,10.750591358
Atlantico,2014,mujeres,450.182794,0.0,50.717239,899.491,449.308206,399.465555,38.788834,1213.419,74.128639819,50.04861574,11.265921187,44.410178135,8.616240835
Atlantico,2014,total,1086.0036240000002,0.0,84.22556,1727.526,641.522376,1001.778063,107.143333,2365.952,73.016105145,62.864676048,7.755550559,57.989174313,9.865835671
Atlantico,2015,hombres,651.5028510000001,0.0,33.457524,842.743,191.240149,618.045327,90.690609,1166.092,72.270712774,77.307417716,5.135437917,73.337343274,13.920216713
Atlantico,2015,mujeres,484.01219,0.0,59.34991,913.961,429.94881,424.66228,57.463411,1226.349,74.526990278,52.957641517,12.262069289,46.463938821,11.872306538
Atlantico,2015,total,1135.5150409999999,0.0,92.807435,1756.704,621.1889590000001,1042.707607,148.15402,2392.441,73.427265291,64.638951199,8.173157658,59.355907809,13.047296978
Atlantico,2016,hombres,658.849522,0.0,34.315889999999996,859.275,200.425478,624.533632,78.253792,1182.161,72.686799852,76.675048329,5.208456314,72.681461933,11.877339093
Atlantico,2016,mujeres,498.510506,0.0,56.295745000000004,931.659,433.148494,442.214761,57.485159,1243.508,74.921834037,53.507829157,11.29279002,47.465302366,11.531383699
Atlantico,2016,total,1157.3600279999998,0.0,90.61163400000001,1790.934,633.5739719999999,1066.7483929999999,135.73895100000001,2425.669,73.832579796,64.623265155,7.829165689,59.563802653,11.728325481
Atlantico,2017,hombres,667.028291,0.0,31.20606,878.554,211.525709,635.822231,79.73427099999999,1202.309,73.072230184,75.923425445,4.67837124,72.371445745,11.953656553
Atlantico,2017,mujeres,489.487999,0.0,56.199371,951.944,462.456001,433.288628,52.127860999999996,1264.232,75.29820476,51.419831289,11.481256156,45.516188744,10.649466709
Atlantico,2017,total,1156.51629,0.0,87.405431,1830.498,673.9817099999999,1069.110859,131.862133,2466.541,74.213159238,63.180418113,7.557648041,58.405464481,11.401666683
Atlantico,2018,hombres,686.35475,0.0,33.839637,904.56,218.20525,652.515113,95.399066,1232.731,73.378539195,75.87719448,4.930342136,72.136189189,13.899381561
Atlantico,2018,mujeres,506.97573800000004,0.0,58.997801,982.973,475.997262,447.977937,56.704523,1299.199,75.659925847,51.575754176,11.637204063,45.573778416,11.184859289
Atlantico,2018,total,1193.3304879999998,0.0,92.837439,1887.533,694.202512,1100.49305,152.103589,2531.93,74.5491779,63.221702004,7.779692176,58.3032482,12.746141159
Atlantico,2019,hombres,710.878304,0.0,34.665510000000005,945.007,234.128696,676.212794,105.886463,1282.765,73.66953417,75.224660105,4.876433762,71.556379383,14.895160284
Atlantico,2019,mujeres,521.321829,0.0,56.640620000000006,1025.838,504.516171,464.68120899999997,61.939607,1351.403,75.909110754,50.819118512,10.864808817,45.297718443,11.881260978
Atlantico,2019,total,1232.2001329999998,0.0,91.30613000000001,1970.845,738.644867,1140.894003,167.82607000000002,2634.168,74.818500566,62.521412525,7.4100081,57.888570793,13.620033414
Atlantico,2020,hombres,704.816535,0.0,58.207182,979.41,274.59346500000004,646.609353,0.0,1324.487,73.946365649,71.963379483,8.258487024,66.020293126,0.0
Atlantico,2020,mujeres,469.699371,0.0,75.024917,1061.991,592.291629,394.674454,0.0,1394.58,76.151314374,44.22818748,15.972965158,37.163634504,0.0
Atlantico,2020,total,1174.515905,0.0,133.23209899999998,2041.401,866.885095,1041.283807,0.0,2719.067,75.077259957,57.534796226,11.343575533,51.008293158,0.0
Atlantico,2021,hombres,762.56,21.635,83.459,1002.207,239.647,679.101,102.277,1349.823,74.247267281,76.088032377,10.944588133,67.760510615,13.412386809
